,Case,Total_Value_Optimal,Total_Weight_Optimal,Runtime_Optimal,Total_Value_gORt,Total_Weight_gORt,Runtime_gORt
28,05SubsetSum_n00500_R01000_s005.kp,123199,123199,33.84814215,123199,123199,0.000999451
29,05SubsetSum_n01000_R01000_s005.kp,243336,243336,137.7452257,243336,243336,0.00599885
30,06UncorrelatedWithSimilarWeights_n00050_R01000_s005.kp,19503,2401442,36.0966835,19503,2401442,0.011000872
31,06UncorrelatedWithSimilarWeights_n00100_R01000_s005.kp,39025,4902512,145.6688795,39025,4902512,0.006999016
32,06UncorrelatedWithSimilarWeights_n00200_R01000_s005.kp,-1,-1,0,79002,9904796,0
33,06UncorrelatedWithSimilarWeights_n00500_R01000_s005.kp,-1,-1,0.001000404,186275,24711907,124.4225686
34,06UncorrelatedWithSimilarWeights_n01000_R01000_s005.kp,-1,-1,0.000999451,369485,49523855,0.770149469
35,07SpannerUncorrelated_n00050_R01000_s005.kp,7728,9808,0.194999218,7728,9808,5.639832973
36,07SpannerUncorrelated_n00100_R01000_s005.kp,16595,21061,0.953906536,16562,21022,155.4099302
37,07SpannerUncorrelated_n00200_R01000_s005.kp,32977,41847,4.139671803,32977,41847,154.3141446
38,07SpannerUncorrelated_n00500_R01000_s005.kp,82077,104139,27.3832469,82075,104125,144.4971855
39,07SpannerUncorrelated_n01000_R01000_s005.kp,166206,210866,118.7411809,166173,210827,135.2134476
40,08SpannerWeaklyCorrelated_n00050_R01000_s005.kp,18104,7683,0.160999537,18104,7683,4.935055971
41,08SpannerWeaklyCorrelated_n00100_R01000_s005.kp,38960,16527,0.763990879,38960,16527,148.3652027
42,08SpannerWeaklyCorrelated_n00200_R01000_s005.kp,77288,32786,3.292628527,77262,32763,142.9110072
43,08SpannerWeaklyCorrelated_n00500_R01000_s005.kp,192378,81584,21.51426339,192286,81539,140.0566721
44,08SpannerWeaklyCorrelated_n01000_R01000_s005.kp,389529,165189,91.12802958,389470,165155,134.452503
45,09SpannerStronglyCorrelated_n00050_R01000_s005.kp,21313,7813,0.165829897,21313,7813,0.165060282
46,09SpannerStronglyCorrelated_n00100_R01000_s005.kp,44492,16592,0.770759821,44492,16592,145.4200485
47,09SpannerStronglyCorrelated_n00200_R01000_s005.kp,90294,32794,3.274526119,90261,32761,139.5853996
48,09SpannerStronglyCorrelated_n00500_R01000_s005.kp,225483,81683,21.80767322,225472,81672,137.7749684
49,09SpannerStronglyCorrelated_n01000_R01000_s005.kp,457030,165430,91.85206866,457030,165430,129.6650472
50,10MultipleStronglyCorrelated_n00050_R01000_s005.kp,20813,12713,0.315000057,20813,12713,0.008997202
51,10MultipleStronglyCorrelated_n00100_R01000_s005.kp,40642,24642,1.331157207,40642,24642,0.035003901
52,10MultipleStronglyCorrelated_n00200_R01000_s005.kp,84200,53100,5.693000793,84200,53100,126.4830883
53,10MultipleStronglyCorrelated_n00500_R01000_s005.kp,201698,123198,33.9687829,201698,123198,130.8612614
54,10MultipleStronglyCorrelated_n01000_R01000_s005.kp,399336,243336,141.2285001,399336,243336,0.883996487
55,11ProfitCeiling_n00050_R01000_s005.kp,12708,12719,0.316455126,12708,12718,0.114911795
56,11ProfitCeiling_n00100_R01000_s005.kp,24627,24642,1.320744991,24627,24640,5.478987455
57,11ProfitCeiling_n00200_R01000_s005.kp,53082,53104,5.741071939,53082,53103,139.2547722
58,11ProfitCeiling_n00500_R01000_s005.kp,123153,123199,34.2398839,123153,123199,135.4454768
59,11ProfitCeiling_n01000_R01000_s005.kp,243240,243336,142.1887715,243240,243334,130.0816047
60,12Circle_n00050_R01000_s005.kp,268001,12719,0.318999052,268001,12719,0.169995308
61,12Circle_n00100_R01000_s005.kp,519231,24642,1.318853855,519231,24642,0.165315866
62,12Circle_n00200_R01000_s005.kp,1118954,53104,5.709453821,1118954,53104,144.6535809
63,12Circle_n00500_R01000_s005.kp,2595920,123199,34.51422286,2595920,123199,6.320014
64,12Circle_n01000_R01000_s005.kp,5127320,243336,145.993504,5127320,243336,145.993504
